,train/learning_rate,train/rewards/rejected,train/losses/dpo,train/logps/answer,_step,train/loss,train/rewards/chosen,train/global_step,train/logps/chosen,train/losses/total,train/losses/sft,train/rewards/accuracies,train/grad_norm,_runtime,_timestamp,train/epoch,train/rewards/margins,train/logps/rejected
0,0,-1.2925251722335815,0.8360368013381958,-0.2883381247520447,0,0.836,-1.0604164600372314,1,-0.5302082300186157,0.8360368013381958,0.5302082300186157,1,6.132688522338867,21.258195576,1731479400.2160003,0.0,0.2321087121963501,-0.6462625861167908
1,0,-1.8766686916351318,0.8001754283905029,-0.797599732875824,1,0.8002,-1.5803695917129517,2,-0.7901847958564758,0.8001754283905029,0.7901847958564758,1,1.8680214881896973,24.173533452,1731479403.0922503,0.0,0.2962990999221802,-0.9383343458175659
2,0,-2.024535894393921,1.136336088180542,-1.6507457494735718,2,1.1363,-2.2737481594085693,3,-1.1368740797042847,1.136336088180542,1.1368740797042847,0,2.4984822273254395,26.428939025,1731479405.3868678,0.0,-0.24921226501464844,-1.0122679471969604
3,0,-2.4770805835723877,0.47009047865867615,-1.1681222915649414,3,0.4701,-1.4664865732192993,4,-0.7332432866096497,0.47009047865867615,0.7332432866096497,1,2.09682297706604,28.702909043,1731479407.6608062,0.0,1.0105940103530884,-1.2385402917861938
4,0,-1.6542205810546875,0.8329554796218872,-2.461962938308716,4,0.833,-1.416666865348816,5,-0.708333432674408,0.8329554796218872,0.7083333730697632,1,4.295703411102295,30.59453193,1731479409.5524392,0.0,0.23755371570587158,-0.8271102905273438
5,0,-0.9767081141471863,0.9745142459869385,-1.4398868083953857,5,0.9745,-0.9774104952812195,6,-0.48870524764060974,0.9745142459869385,0.4887051582336426,0,9.88667106628418,32.645481378,1731479411.5567348,0.0,-0.0007023811340332031,-0.48835405707359314
6,0,-1.7032746076583862,0.8620510101318359,-1.5051459074020386,6,0.8621,-1.5166335105895996,7,-0.7583167552947998,0.8620510101318359,0.7583167552947998,1,1.5624496936798096,34.61034456,1731479413.5682516,0.0,0.18664109706878662,-0.8516373038291931
7,0,-2.0088634490966797,0.9507310390472412,-1.46873939037323,7,0.9507,-1.9710873365402222,8,-0.9855436682701111,0.9507310390472412,0.9855437874794006,1,3.5307936668395996,36.649935218,1731479415.607858,0.0,0.03777611255645752,-1.0044317245483398
8,0,-1.0805696249008179,1.549640417098999,-0.9414105415344238,8,1.5496,-1.8915412425994873,9,-0.9457706212997437,1.549640417098999,0.9457705616950989,0,1.7845126390457153,39.029531647,1731479417.9874265,0.0,-0.8109716176986694,-0.5402848124504089
9,0,-1.8948349952697754,1.1142528057098389,-1.8592125177383423,9,1.1143,-2.1113522052764893,10,-1.0556761026382446,1.1142528057098389,1.0556761026382446,0,0.8913094997406006,41.047048137,1731479420.0049946,0.0,-0.21651721000671387,-0.9474174976348877
